Date,Open,High,Low,Price,Volume,Change %
7/31/2023,"29,282.00","29,502.30","29,128.30","29,232.40",31.84,-0.17%
7/30/2023,"29,354.20","29,446.60","29,054.50","29,281.70",20.58,-0.24%
7/29/2023,"29,315.00","29,400.10","29,256.90","29,353.50",13.90,0.13%
7/28/2023,"29,222.70","29,533.00","29,125.10","29,315.00",31.42,0.32%
7/27/2023,"29,352.90","29,568.80","29,094.00","29,222.70",30.42,-0.44%
7/26/2023,"29,228.80","29,681.80","29,109.70","29,352.20",44.33,0.42%
7/25/2023,"29,178.30","29,365.40","29,058.70","29,228.60",29.05,0.17%
7/24/2023,"30,085.90","30,098.20","28,890.70","29,178.10",55.73,-3.02%
7/23/2023,"29,788.90","30,337.00","29,735.70","30,085.90",23.32,1.00%
7/22/2023,"29,904.50","29,988.00","29,657.30","29,788.90",18.47,-0.38%
7/21/2023,"29,801.00","30,058.90","29,739.90","29,903.10",32.59,0.34%
7/20/2023,"29,909.70","30,408.00","29,621.40","29,801.00",50.33,-0.36%
7/19/2023,"29,866.70","30,185.50","29,789.30","29,909.70",34.96,0.14%
7/18/2023,"30,139.70","30,242.40","29,624.60","29,866.80",42.40,-0.91%
7/17/2023,"30,235.50","30,335.90","29,693.30","30,139.70",42.84,-0.32%
7/16/2023,"30,291.80","30,435.00","30,075.40","30,235.50",20.31,-0.18%
7/15/2023,"30,316.80","30,395.40","30,246.90","30,291.40",17.06,-0.09%
7/14/2023,"31,465.40","31,602.60","29,944.30","30,317.40",82.42,-3.65%
7/13/2023,"30,387.30","31,764.50","30,260.00","31,466.10",99.81,3.55%
7/12/2023,"30,623.30","30,951.30","30,231.70","30,387.30",54.06,-0.77%
7/11/2023,"30,414.20","30,782.20","30,333.80","30,623.30",39.84,0.68%
7/10/2023,"30,166.90","31,019.60","29,969.10","30,415.30",55.24,0.82%
7/9/2023,"30,288.80","30,425.50","30,071.90","30,166.90",20.05,-0.40%
7/8/2023,"30,346.80","30,379.90","30,055.90","30,288.80",17.41,-0.19%
7/7/2023,"29,912.70","30,442.00","29,757.40","30,346.40",46.42,1.45%
7/6/2023,"30,512.80","31,463.60","29,869.00","29,913.10",90.81,-1.97%
7/5/2023,"30,768.60","30,875.60","30,233.30","30,512.80",43.23,-0.83%
7/4/2023,"31,152.00","31,326.50","30,657.80","30,768.40",42.12,-1.23%
7/3/2023,"30,617.50","31,377.00","30,581.50","31,151.30",56.49,1.74%
7/2/2023,"30,587.10","30,769.00","30,227.90","30,617.70",28.82,0.10%
7/1/2023,"30,472.90","30,649.90","30,329.00","30,586.80",22.46,0.37%
