Date,Open,High,Low,Price,Volume,Change %
1/20/2022,41683.6,43487.1,40568.3,40715.9,65.28K,-2.31%
1/19/2022,42365.3,42558,41160.9,41677.8,53.77K,-1.62%
1/18/2022,42209.9,42674.2,41300.7,42364.6,47.32K,0.37%
1/17/2022,43080.5,43179.6,41559.4,42209.3,41.44K,-2.02%
1/16/2022,43079.2,43462,42643.3,43079.1,28.66K,-0.04%
1/15/2022,43073.6,43777.9,42586.1,43097,31.44K,0.06%
1/14/2022,42562.2,43435.1,41848.7,43073.3,50.50K,1.21%
1/13/2022,43900,44404.7,42337.5,42560,53.42K,-3.05%
1/12/2022,42735,44243.6,42476.7,43901,53.95K,2.73%
1/11/2022,41829.1,43090.2,41287.6,42733.2,61.78K,2.15%
1/10/2022,41848.9,42243.8,39697,41832.2,85.50K,-0.04%
1/9/2022,41681.2,42764.4,41260.9,41848.3,37.51K,0.42%
1/8/2022,41551.3,42304.4,40574.3,41672,52.54K,0.30%
1/7/2022,43097.9,43127.7,40810,41546.7,88.36K,-3.60%
1/6/2022,43431.6,43772.3,42481.1,43097.5,63.08K,-0.76%
1/5/2022,45833.1,47019.4,42535.1,43425.9,83.74K,-5.26%
1/4/2022,46435.7,47505.4,45602.1,45837.3,55.59K,-1.28%
1/3/2022,47293.9,47556,45704,46430.2,41.06K,-1.86%
1/2/2022,47738.7,47944.9,46718.2,47311.8,27.02K,-0.89%
1/1/2022,46217.5,47917.6,46217.5,47738,31.24K,3.29%
12/31/2021,47123.3,48553.9,45693.6,46219.5,58.18K,-1.92%
12/30/2021,46470.7,47901.4,46003,47123.3,60.96K,1.42%
12/29/2021,47548.4,48121.7,46127.8,46461.7,63.92K,-2.28%
12/28/2021,50703.4,50703.8,47345.7,47545.2,74.39K,-6.18%
12/27/2021,50783.6,52016.3,50459,50678.2,43.90K,-0.20%
12/26/2021,50404,51247,49527,50779.9,32.34K,0.74%
12/25/2021,50789.6,51140.2,50196.8,50406.4,26.67K,-0.75%
12/24/2021,50807.4,51795.3,50428.4,50786.1,45.97K,-0.03%
12/23/2021,48599.6,51355.6,48053.4,50801,56.24K,4.53%
12/22/2021,48898.7,49540.3,48449.7,48599.7,40.89K,-0.62%
12/21/2021,46900.1,49306.1,46654,48902,57.88K,4.28%
12/20/2021,46703.4,47488.9,45577.3,46895.2,57.53K,0.41%
12/19/2021,46855.7,48270.2,46438.4,46704.5,44.05K,-0.32%
12/18/2021,46171.8,47330.2,45513.4,46856.2,36.93K,1.48%
12/17/2021,47630.4,47997.2,45523.8,46172.2,67.50K,-3.06%
12/16/2021,48876.6,49387.8,47543.9,47628.2,48.20K,-2.54%
12/15/2021,48366.2,49477.9,46572.6,48871.5,80.28K,1.04%
12/14/2021,46709.8,48635,46338.3,48366.5,62.54K,3.56%
12/13/2021,50075.9,50196.1,45848.2,46703.6,80.37K,-6.74%
12/12/2021,49332.5,50779.2,48670.5,50081,40.30K,1.55%
12/11/2021,47138.4,49487,46834,49314.5,45.23K,4.62%
12/10/2021,47591.7,49974.8,47007.1,47137.2,68.06K,-0.97%
12/9/2021,50477.6,50790.2,47341.9,47596.6,58.69K,-5.70%
12/8/2021,50596.6,51204.7,48700.7,50473.9,55.59K,-0.24%
12/7/2021,50547.4,51918.6,50070.9,50595.2,56.29K,0.07%
12/6/2021,49412.1,50913.3,47237.9,50562.1,89.68K,2.34%
12/5/2021,49196.4,49689.3,47797.8,49405.5,72.03K,0.43%
12/4/2021,53620.7,53847.2,42587.8,49195.2,168.00K,-8.27%
12/3/2021,56495.2,57543.6,52008.9,53631.5,89.20K,-5.07%
12/2/2021,57207.8,57377.5,55807.9,56496,54.94K,-1.25%
